Usuario,Movie,Rating,Genre,Date
196,304,3,suspenso,2014-03-20
186,302,3,accion,2014-03-20
22,377,1,suspenso,2014-03-20
244,51,2,accion,2014-03-20
166,346,1,accion,2014-03-20
298,474,4,accion,2014-03-20
115,265,2,accion,2014-03-20
253,465,5,accion,2014-03-20
305,451,3,accion,2014-03-20
6,86,3,religion,2014-03-20
62,257,2,accion,2014-03-20
286,304,5,suspenso,2014-03-21
200,222,5,suspenso,2014-03-21
210,40,3,accion,2014-03-21
244,29,3,accion,2014-03-21
303,785,3,accion,2014-03-21
122,387,5,accion,2014-03-22
194,274,2,deportes,2014-03-22
291,1042,4,accion,2014-03-22
234,1184,2,accion,2014-03-22
119,392,4,accion,2014-03-22
167,486,4,accion,2014-03-22
299,304,4,suspenso,2014-03-23
291,118,2,accion,2014-03-23
308,1,4,suspenso,2014-03-23
95,546,2,accion,2014-03-23
38,95,5,accion,2014-03-23
102,768,2,accion,2014-03-24
196,277,4,accion,2014-03-24
160,234,5,accion,2014-03-24
50,246,3,accion,2014-03-24
301,98,4,religion,2014-03-24
225,193,4,accion,2014-03-24
290,88,4,accion,2014-03-24
97,194,3,accion,2014-03-24
244,274,4,deportes,2014-03-25
181,1081,1,accion,2014-03-25
278,603,5,accion,2014-03-25
276,796,1,accion,2014-03-25
7,32,4,accion,2014-03-25
10,16,4,suspenso,2014-03-25
244,304,4,suspenso,2014-03-25
201,979,2,accion,2014-03-25
276,304,3,suspenso,2014-03-25
287,327,5,accion,2014-03-25
